Agent,Game,Action balanced replay buffer,Abandon ship,Grammar,Seed,25000,50000,75000,100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000
Without Transfer Learning,Transfer Learning Ablation Study,TRUE,Abandon ship 1.0,IGGI,3371768399,309.166667,80,270,480,351.666667,500,555.833333,577.5,398.333333,613.333333,690.833333,672.5,715.833333,645
Without Transfer Learning,Transfer Learning Ablation Study,TRUE,Abandon ship 1.0,IGGI,1136464578,82.5,237.5,291.666667,192.5,184.166667,234.166667,331.666667,505,464.166667,403.333333,510.833333,535,500.833333,529.166667
Without Transfer Learning,Transfer Learning Ablation Study,TRUE,Abandon ship 1.0,IGGI,3654173039,263.333333,300.833333,121.666667,230.833333,277.5,465.833333,424.166667,579.166667,476.666667,566.666667,558.333333,509.166667,567.5,273.333333
Without Transfer Learning,Transfer Learning Ablation Study,TRUE,Abandon ship 1.0,IGGI,2573980213,132.5,156.666667,240,288.333333,292.5,451.666667,364.166667,534.166667,472.5,507.5,431.666667,594.166667,552.5,695.833333
Without Transfer Learning,Transfer Learning Ablation Study,TRUE,Abandon ship 1.0,IGGI,853286407,1.666667,296.666667,171.666667,511.666667,343.333333,370,458.333333,472.5,521.666667,671.666667,534.166667,486.666667,448.333333,425
With Transfer Learning,Transfer Learning Ablation Study,TRUE,Abandon ship 1.0,IGGI,3371768399,309.166667,80,270,224.166667,303.333333,570,477.5,499.166667,536.666667,527.5,660,640,624.166667,639.166667
With Transfer Learning,Transfer Learning Ablation Study,TRUE,Abandon ship 1.0,IGGI,1136464578,82.5,237.5,291.666667,413.333333,263.333333,273.333333,365.833333,507.5,495.833333,575,616.666667,578.333333,700,482.5
With Transfer Learning,Transfer Learning Ablation Study,TRUE,Abandon ship 1.0,IGGI,3654173039,263.333333,300.833333,121.666667,201.666667,317.5,415,532.5,491.666667,544.166667,625.833333,665.833333,585.833333,475,496.666667
With Transfer Learning,Transfer Learning Ablation Study,TRUE,Abandon ship 1.0,IGGI,2573980213,132.5,156.666667,240,315.833333,405.833333,360.833333,604.166667,602.5,602.5,648.333333,642.5,702.5,641.666667,901.666667
With Transfer Learning,Transfer Learning Ablation Study,TRUE,Abandon ship 1.0,IGGI,853286407,1.666667,296.666667,171.666667,406.666667,400,467.5,650,636.666667,635,353.333333,754.166667,610.833333,597.5,739.166667
